file,max_rss,time
Examples/Detectors/DD4hepDetector/src/IBL/IBLSimpleBarrel_geo.cpp,267108352,1.503753
Examples/Detectors/DD4hepDetector/src/Calorimeter/Calorimeter_barrel.cpp,404680704,2.506803
Examples/Detectors/DD4hepDetector/src/TestTracker/AirTube_geo.cpp,155869184,1.50375
Examples/Detectors/DD4hepDetector/src/TestTracker/Barrel_geo.cpp,269295616,2.005151
Examples/Detectors/DD4hepDetector/src/TestTracker/BeamPipe_geo.cpp,154533888,1.503731
Examples/Detectors/DD4hepDetector/src/TestTracker/Endcap_geo.cpp,345391104,2.005082
Examples/Detectors/DD4hepDetector/src/TestTracker/SimpleLayeredCylinder_geo.cpp,264716288,1.50395
Examples/Detectors/DD4hepDetector/src/TestTracker/ZPlanarTracker_geo.cpp,267718656,1.503815
Examples/Detectors/DD4hepDetector/src/TKLayout/TKLayoutBarrel_geo.cpp,268455936,1.504171
Examples/Detectors/DD4hepDetector/src/TKLayout/TKLayoutEndcap_geo.cpp,266080256,1.504028
Examples/Detectors/DD4hepDetector/src/DD4hepDetector.cpp,547237888,4.511289
Examples/Detectors/DD4hepDetector/src/DD4hepDetectorHelper.cpp,482967552,3.508857
Examples/Detectors/DD4hepDetector/src/DD4hepGeometryService.cpp,540237824,4.010064
Examples/Detectors/DD4hepDetector/src/DetUtils.cpp,544382976,4.010041
thirdparty/OpenDataDetector/factory/ODDCylinder_geo.cpp,403525632,2.50637
thirdparty/OpenDataDetector/factory/ODDModuleHelper.cpp,266911744,1.503831
thirdparty/OpenDataDetector/factory/ODDPixelBarrel_geo.cpp,403709952,3.008026
thirdparty/OpenDataDetector/factory/ODDPixelEndcap_geo.cpp,401428480,3.007653
thirdparty/OpenDataDetector/factory/ODDStripBarrel_geo.cpp,403615744,3.007835
thirdparty/OpenDataDetector/factory/ODDStripEndcap_geo.cpp,402198528,3.007647
Examples/Detectors/EmptyDetector/src/EmptyDetector.cpp,786247680,5.513821
Examples/Detectors/GenericDetector/src/BuildGenericDetector.cpp,545705984,3.508833
Examples/Detectors/GenericDetector/src/GenericDetector.cpp,1111842816,12.030432
Examples/Detectors/GenericDetector/src/GenericDetectorElement.cpp,420892672,3.007368
Examples/Detectors/MagneticField/src/FieldMapperRootIo.cpp,268464128,1.503861
Examples/Detectors/MagneticField/src/FieldMapperTextIo.cpp,249458688,1.503691
Examples/Detectors/MagneticField/src/MagneticFieldOptions.cpp,570212352,5.514272
Examples/Detectors/MagneticField/src/ScalableBFieldService.cpp,150982656,1.00242
Examples/Detectors/TGeoDetector/src/TGeoDetector.cpp,812425216,6.014944
Examples/Detectors/TGeoDetector/src/TGeoDetectorOptions.cpp,774524928,6.516561
Examples/Detectors/TelescopeDetector/src/TelescopeDetector.cpp,543981568,3.509063
Examples/Detectors/TelescopeDetector/src/TelescopeDetectorElement.cpp,475521024,3.007732
Examples/Detectors/TelescopeDetector/src/BuildTelescopeDetector.cpp,732000256,5.514367
Examples/Detectors/TelescopeDetector/src/TelescopeDetectorOptions.cpp,349655040,3.007772
Examples/Framework/src/Framework/BareAlgorithm.cpp,552960,0.501531
Examples/Framework/src/Framework/BareService.cpp,618496,0.50122
Examples/Framework/src/Framework/RandomNumbers.cpp,622592,0.501226
Examples/Framework/src/Framework/Sequencer.cpp,345563136,2.506109
Examples/Framework/src/Utilities/Paths.cpp,363298816,4.010265
Examples/Framework/src/Utilities/Options.cpp,121503744,1.002482
Examples/Framework/src/Utilities/Helpers.cpp,152391680,1.002907
Examples/Framework/src/Validation/DuplicationPlotTool.cpp,533442560,3.509053
Examples/Framework/src/Validation/EffPlotTool.cpp,335511552,2.004966
Examples/Framework/src/Validation/FakeRatePlotTool.cpp,537759744,3.509368
Examples/Framework/src/Validation/ResPlotTool.cpp,606658560,4.511631
Examples/Framework/src/Validation/TrackClassification.cpp,507428864,3.508706
Examples/Framework/src/Validation/TrackSummaryPlotTool.cpp,537526272,3.508716
Examples/Io/Csv/src/CsvMeasurementReader.cpp,758145024,6.015145
Examples/Io/Csv/src/CsvMeasurementWriter.cpp,871993344,8.521828
Examples/Io/Csv/src/CsvOptionsReader.cpp,341696512,2.004935
Examples/Io/Csv/src/CsvOptionsWriter.cpp,753946624,5.012455
Examples/Io/Csv/src/CsvParticleReader.cpp,418521088,3.509151
Examples/Io/Csv/src/CsvParticleWriter.cpp,341532672,2.005029
Examples/Io/Csv/src/CsvPlanarClusterReader.cpp,794001408,6.516246
Examples/Io/Csv/src/CsvPlanarClusterWriter.cpp,643600384,5.013211
Examples/Io/Csv/src/CsvSimHitReader.cpp,465944576,6.015238
Examples/Io/Csv/src/CsvSimHitWriter.cpp,339730432,2.506265
Examples/Io/Csv/src/CsvTrackingGeometryWriter.cpp,685273088,8.521059
Examples/Io/HepMC3/src/HepMC3Event.cpp,339841024,2.506548
Examples/Io/HepMC3/src/HepMC3Options.cpp,358002688,2.005327
Examples/Io/HepMC3/src/HepMC3Particle.cpp,343609344,2.005222
Examples/Io/HepMC3/src/HepMC3Reader.cpp,255381504,1.504063
Examples/Io/HepMC3/src/HepMC3Vertex.cpp,343097344,2.005322
Examples/Io/HepMC3/src/HepMC3Writer.cpp,249552896,1.503741
Examples/Io/Json/src/JsonGeometryList.cpp,331870208,3.508931
Examples/Io/Json/src/JsonMaterialWriter.cpp,633831424,4.512326
Examples/Io/Json/src/JsonSurfacesWriter.cpp,725483520,6.014933
Examples/Io/Json/src/JsonOptionsWriter.cpp,376655872,2.506327
Examples/Io/Json/src/JsonDigitizationConfig.cpp,779247616,8.521979
