gen1_geo_id,gen3_geo_id
1224979373522701056,720575940379298560
1224979373522701312,720575940379298816
1224979373522701568,720575940379299072
1224979373522701824,720575940379299328
1224979373522702080,720575940379299584
1224979373522702336,720575940379299840
1224979373522702592,720575940379300096
1224979373522702848,720575940379300352
1224979373522703104,720575940379300608
1224979373522703360,720575940379300864
1224979373522703616,720575940379301120
1224979373522703872,720575940379301376
1224979373522704128,720575940379301632
1224979373522704384,720575940379301888
1224979373522704640,720575940379302144
1224979373522704896,720575940379302400
1224979373522705152,720575940379302656
1224979373522705408,720575940379302912
1224979373522705664,720575940379303168
1224979373522705920,720575940379303424
1224979373522706176,720575940379303680
1224979373522706432,720575940379303936
1224979373522706688,720575940379304192
1224979373522706944,720575940379304448
1224979373522707200,720575940379304704
1224979373522707456,720575940379304960
1224979373522707712,720575940379305216
1224979373522707968,720575940379305472
1224979373522708224,720575940379305728
1224979373522708480,720575940379305984
1224979373522708736,720575940379306240
1224979373522708992,720575940379306496
1224979373522709248,720575940379306752
1224979373522709504,720575940379307008
1224979373522709760,720575940379307264
1224979373522710016,720575940379307520
1224979373522710272,720575940379307776
1224979373522710528,720575940379308032
1224979373522710784,720575940379308288
1224979373522711040,720575940379308544
1224979373522711296,720575940379308800
1224979373522711552,720575940379309056
1224979373522711808,720575940379309312
1224979373522712064,720575940379309568
1224979373522712320,720575940379309824
1224979373522712576,720575940379310080
1224979373522712832,720575940379310336
1224979373522713088,720575940379310592
1224979373522713344,720575940379310848
1224979373522713600,720575940379311104
1224979373522713856,720575940379311360
1224979373522714112,720575940379311616
1224979373522714368,720575940379311872
1224979373522714624,720575940379312128
1224979373522714880,720575940379312384
1224979373522715136,720575940379312640
1224979373522715392,720575940379312896
1224979373522715648,720575940379313152
1224979373522715904,720575940379313408
1224979373522716160,720575940379313664
1224979373522716416,720575940379313920
1224979373522716672,720575940379314176
1224979373522716928,720575940379314432
1224979373522717184,720575940379314688
1224979373522717440,720575940379314944
1224979373522717696,720575940379315200
1224979373522717952,720575940379315456
1224979373522718208,720575940379315712
1224979373522718464,720575940379315968
1224979373522718720,720575940379316224
1224979373522718976,720575940379316480
1224979373522719232,720575940379316736
1224979373522719488,720575940379316992
1224979373522719744,720575940379317248
1224979373522720000,720575940379317504
1224979373522720256,720575940379317760
1224979373522720512,720575940379318016
1224979373522720768,720575940379318272
1224979373522721024,720575940379318528
1224979373522721280,720575940379318784
1224979373522721536,720575940379319040
1224979373522721792,720575940379319296
1224979373522722048,720575940379319552
1224979373522722304,720575940379319808
1224979373522722560,720575940379320064
1224979373522722816,720575940379320320
1224979373522723072,720575940379320576
1224979373522723328,720575940379320832
1224979373522723584,720575940379321088
1224979373522723840,720575940379321344
1224979373522724096,720575940379321600
1224979373522724352,720575940379321856
1224979373522724608,720575940379322112
1224979373522724864,720575940379322368
1224979373522725120,720575940379322624
1224979373522725376,720575940379322880
1224979373522725632,720575940379323136
1224979373522725888,720575940379323392
1224979373522726144,720575940379323648
1224979373522726400,720575940379323904
1224979373522726656,720575940379324160
1224979373522726912,720575940379324416
1224979373522727168,720575940379324672
1224979373522727424,720575940379324928
1224979373522727680,720575940379325184
1224979373522727936,720575940379325440
1224979373522728192,720575940379325696
1224979373522728448,720575940379325952
1224979373522728704,720575940379326208
1224979373522728960,720575940379326464
1224979373522729216,720575940379326720
1224979373522729472,720575940379326976
1224979373522729728,720575940379327232
1224979373522729984,720575940379327488
1224979373522730240,720575940379327744
1224979373522730496,720575940379328000
1224979373522730752,720575940379328256
1224979373522731008,720575940379328512
1224979373522731264,720575940379328768
1224979373522731520,720575940379329024
1224979373522731776,720575940379329280
1224979373522732032,720575940379329536
1224979373522732288,720575940379329792
1224979373522732544,720575940379330048
1224979373522732800,720575940379330304
1224979373522733056,720575940379330560
1224979373522733312,720575940379330816
1224979373522733568,720575940379331072
1224979373522733824,720575940379331328
1224979373522734080,720575940379331584
1224979373522734336,720575940379331840
1224979373522734592,720575940379332096
1224979373522734848,720575940379332352
1224979373522735104,720575940379332608
1224979373522735360,720575940379332864
1224979373522735616,720575940379333120
1224979373522735872,720575940379333376
1224979373522736128,720575940379333632
1224979373522736384,720575940379333888
1224979373522736640,720575940379334144
1224979373522736896,720575940379334400
1224979373522737152,720575940379334656
1224979373522737408,720575940379334912
1224979373522737664,720575940379335168
1224979373522737920,720575940379335424
1224979373522738176,720575940379335680
1224979373522738432,720575940379335936
1224979373522738688,720575940379336192
1224979373522738944,720575940379336448
1224979373522739200,720575940379336704
1224979373522739456,720575940379336960
1224979373522739712,720575940379337216
1224979373522739968,720575940379337472
1224979373522740224,720575940379337728
1224979373522740480,720575940379337984
1224979373522740736,720575940379338240
1224979373522740992,720575940379338496
1224979373522741248,720575940379338752
1224979373522741504,720575940379339008
1224979373522741760,720575940379339264
1224979373522742016,720575940379339520
1224979373522742272,720575940379339776
1224979373522742528,720575940379340032
1224979373522742784,720575940379340288
1224979373522743040,720575940379340544
1224979373522743296,720575940379340800
1224979373522743552,720575940379341056
1224979373522743808,720575940379341312
1224979373522744064,720575940379341568
1224979373522744320,720575940379341824
1224979373522744576,720575940379342080
1224979373522744832,720575940379342336
1224979373522745088,720575940379342592
1224979373522745344,720575940379342848
1224979373522745600,720575940379343104
1224979373522745856,720575940379343360
1224979373522746112,720575940379343616
1224979373522746368,720575940379343872
1224979373522746624,720575940379344128
1224979373522746880,720575940379344384
1224979373522747136,720575940379344640
